0	787.971E+6	6.118E+6
1	777.48E+6	6.009E+6
2	779.36E+6	6.562E+6
3	759.602E+6	5.985E+6
4	781.254E+6	5.709E+6
5	763.777E+6	5.525E+6
6	766.944E+6	5.722E+6
7	724.192E+6	5.035E+6
8	782.59E+6	6.119E+6
9	767.109E+6	5.702E+6
10	769.932E+6	5.94E+6
11	733.871E+6	5.043E+6
12	772.361E+6	5.593E+6
13	741.829E+6	4.808E+6
14	748.047E+6	5.382E+6
15	634.591E+6	4.193E+6
16	784.177E+6	5.784E+6
17	769.965E+6	5.898E+6
18	772.207E+6	5.534E+6
19	741.886E+6	5.056E+6
20	774.631E+6	5.876E+6
21	748.493E+6	5.03E+6
22	753.589E+6	5.348E+6
23	668.809E+6	4.473E+6
24	776.856E+6	5.911E+6
25	753.485E+6	5.725E+6
26	758.279E+6	5.845E+6
27	691.545E+6	4.229E+6
28	762.193E+6	4.991E+6
29	708.439E+6	4.818E+6
30	720.73E+6	4.531E+6
